scientific_name	invasive
Bromus diandrus	true
Bromus erectus	false
Bromus grossus	false
Bromus hordeaceus	true
Bromus inermis	true
Bromus japonicus	true
Bromus lanceolatus	false
Bromus lepidus	false
Bromus madritensis	true
Bromus racemosus	true
Bromus ramosus	false
Bromus rubens	true
Bromus scoparius	false
Bromus secalinus	true
Bromus squarrosus	true
Bromus sterilis	true
Bromus tectorum	true
Brosimum alicastrum	false
Broussonetia papyrifera	true
Browallia americana	true
Brugmansia sanguinea	false
Brugmansia suaveolens	true
Brugmansia versicolor	false
Bruguiera gymnorhiza	false
Brunnera macrophylla	false
Bryonia alba	true
Bryonia cretica	false
Bryonia dioica	false
Buddleja alternifolia	false
Buddleja davidii	true
Buddleja lindleyana	false
Buddleja madagascariensis	true
Buddleja officinalis	false
Buddleja saligna	false
Buglossoides arvensis	true
Bulbine semibarbata	false
Bulbostylis barbata	false
Bulbostylis hirta	false
Bunias erucago	false
Bunias orientalis	true
Bupleurum lancifolium	false
Bupleurum odontites	false
Bupleurum rotundifolium	false
Butia capitata	false
Butomus umbellatus	true
Buxus microphylla	false
Buxus sempervirens	false
Cabomba palaeformis	false
Caesalpinia crista	false
Caesalpinia pulcherrima	true
Cajanus cajan	true
Cajanus scarabaeoides	false
Cakile maritima	false
Caladium bicolor	true
Calamagrostis epigeios	false
Calendula arvensis	false
Calendula officinalis	true
Calepina irregularis	false
Calibrachoa parviflora	true
Calliandra haematocephala	true
Callicarpa dichotoma	false
Callicarpa japonica	true
Callisia fragrans	true
Callisia repens	true
Callistemon citrinus	true
Callistemon viminalis	true
Callistephus chinensis	false
Callithamnion tenuissimum	false
Callitriche brutia	false
Callitriche stagnalis	true
Callitris columellaris	false
Calluna vulgaris	true
Calophyllum brasiliense	true
Calophyllum inophyllum	true
Calotis cuneifolia	false
Calotropis procera	true
Calycera balsamitifolia	false
Calyptocarpus vialis	true
Calystegia hederacea	false
Calystegia sepium	false
Calystegia silvatica	false
Camelina alyssum	false
Camelina microcarpa	true
Camelina rumelica	false
Camelina sativa	true
Camellia japonica	false
Camellia sasanqua	false
Camellia sinensis	true
Campanula bononiensis	false
Campanula carpatica	false
Campanula cervicaria	true
Campanula glomerata	true
Campanula lactiflora	false
Campanula lanata	false
Campanula latifolia	false
Campanula medium	true
Campanula patula	false
Campanula persicifolia	false
Campanula poscharskyana	true
Campanula punctata	false
Campanula rapunculoides	true
Campanula trachelium	false
Campylopus pilifer	false
Canavalia ensiformis	true
Canna X	false
Canna indica	true
Cannabis sativa	true
Caperonia castaneifolia	false
Caperonia palustris	false
Capsella bursa-pastoris	true
Capsicum annuum	false
Caragana arborescens	true
Caragana aurantiaca	false
Caragana frutex	false
Cardamine bulbifera	false
Cardamine flexuosa	true
Cardamine hirsuta	true
Cardamine impatiens	true
Cardiocrinum cordatum	false
Cardiospermum corindum	false
Cardiospermum halicacabum	true
Carduus X	false
Carduus acanthoides	true
Carduus crispus	true
Carduus nutans	true
Carduus pycnocephalus	true
Carduus tenuiflorus	false
Carex acutiformis	false
Carex breviculmis	false
Carex brunnea	false
Carex caryophyllea	false
Carex diluta	true
Carex distans	false
Carex distenta	false
Carex disticha	false
Carex divisa	false
Carex divulsa	false
Carex extensa	false
Carex ferruginea	false
Carex flacca	false
Carex heterostachya	false
Carex hirta	true
Carex kobomugi	true
Carex muricata	false
Carex panicea	false
Carex pendula	false
Carex pumila	false
Carex secalina	true
Carex spicata	true
Carex sylvatica	false
Carex vacillans	false
Carica papaya	true
Carissa macrocarpa	true
Carlina vulgaris	false
Carpinus betulus	false
Carpinus turczaninovii	false
Carpobrotus chilensis	false
Carpobrotus edulis	true
Carrichtera annua	true
Carthamus creticus	false
Carthamus lanatus	true
Carthamus leucocaulos	false
Carthamus tinctorius	false
Carum carvi	true
Caryopteris X	false
Caryota mitis	true
Caryota urens	false
Casearia nitida	false
Cassia afrofistula	false
Cassia fistula	false
Cassia javanica	true
Castanea crenata	false
Castanea mollissima	false
Castanea sativa	true
Casuarina cunninghamiana	true
Casuarina equisetifolia	true
Casuarina glauca	true
Catalpa ovata	true
Catananche caerulea	false
Catapodium rigidum	true
Catharanthus roseus	true
Caucalis platycarpos	true
Caulacanthus ustulatus	true
Caulerpa brachypus	false
